id_encuesta,tipo_formulario,id_hogar,usuario,usuario_nombre,rol,estado,fecha,hora,fecha_creacion,hora_creacion,fecha_actualizacion,hora_actualizacion,fecha_finalizacion,hora_finalizacion,n_actualizaciones,enviada_base_central,fecha_envio_base_central,app_version,viv_codigo,viv_alcaldia_gobernacion,viv_prof_nombre,viv_prof_tarjeta,viv_prof_profesion,viv_prof_organismo,viv_prof_cc,viv_prof_cc_de,viv_prof_telefono,viv_prof_direccion,viv_fecha_evaluacion,viv_prop_nombres_apellidos,viv_prop_cc,viv_prop_cc_de,viv_prop_telefono,viv_prop_direccion,viv_departamento,viv_municipio,tipo_via,numero_via,sufijo_via,sufijo_via_otro,numero_generador,placa_inmueble,tipo_inmueble,nombre_conjunto,tipo_unidad,numero_unidad,torre_bloque,direccion_completa,latitud,longitud,sistema_coordenadas,fuente_georreferenciacion,precision_gps_m,direccion_geocodificada,fecha_georreferenciacion,ubicacion_confirmada,fecha_confirmacion_ubicacion,viv_corregimiento,viv_vereda,viv_req_no_beneficiario,viv_req_no_beneficiario_num,viv_req_no_beneficiario_etiqueta,viv_req_propietario,viv_req_propietario_num,viv_req_propietario_etiqueta,viv_req_certificacion_alcaldia,viv_req_certificacion_alcaldia_num,viv_req_certificacion_alcaldia_etiqueta,viv_cumple_requisitos,viv_cumple_requisitos_num,viv_cumple_requisitos_etiqueta,viv_tipo_evento,viv_tipo_evento_num,viv_tipo_evento_etiqueta,viv_tipo_evento_otro,viv_sistema_constructivo,viv_sistema_constructivo_num,viv_sistema_constructivo_etiqueta,viv_infra_muros,viv_infra_muros_nums,viv_infra_muros__L,viv_infra_muros__Bl,viv_infra_muros__M,viv_infra_muros__G,viv_infra_muros__Ba,viv_infra_muros__O,viv_infra_muros_otro,viv_infra_pisos,viv_infra_pisos_nums,viv_infra_pisos__C,viv_infra_pisos__B,viv_infra_pisos__M,viv_infra_pisos__T,viv_infra_pisos__O,viv_infra_pisos_otro,viv_infra_estructura,viv_infra_estructura_nums,viv_infra_estructura__M,viv_infra_estructura__Co,viv_infra_estructura__Ma,viv_infra_estructura__O,viv_infra_estructura_otro,viv_infra_cubierta,viv_infra_cubierta_nums,viv_infra_cubierta__Pc,viv_infra_cubierta__M,viv_infra_cubierta__Ac,viv_infra_cubierta__Tb,viv_infra_cubierta__Z,viv_infra_cubierta__P,viv_infra_cubierta__O,viv_infra_cubierta_otro,viv_mam_vigas_columnas_afectado,viv_mam_vigas_columnas_afectado_num,viv_mam_vigas_columnas_afectado_etiqueta,viv_mam_vigas_columnas_nivel,viv_mam_vigas_columnas_nivel_num,viv_mam_vigas_columnas_nivel_etiqueta,viv_mam_muros_carga_afectado,viv_mam_muros_carga_afectado_num,viv_mam_muros_carga_afectado_etiqueta,viv_mam_muros_carga_nivel,viv_mam_muros_carga_nivel_num,viv_mam_muros_carga_nivel_etiqueta,viv_mam_muros_divisorios_afectado,viv_mam_muros_divisorios_afectado_num,viv_mam_muros_divisorios_afectado_etiqueta,viv_mam_muros_divisorios_nivel,viv_mam_muros_divisorios_nivel_num,viv_mam_muros_divisorios_nivel_etiqueta,viv_mam_placa_piso_afectado,viv_mam_placa_piso_afectado_num,viv_mam_placa_piso_afectado_etiqueta,viv_mam_placa_piso_nivel,viv_mam_placa_piso_nivel_num,viv_mam_placa_piso_nivel_etiqueta,viv_mam_cubierta_afectado,viv_mam_cubierta_afectado_num,viv_mam_cubierta_afectado_etiqueta,viv_mam_cubierta_nivel,viv_mam_cubierta_nivel_num,viv_mam_cubierta_nivel_etiqueta,viv_mam_hidrosanitarias_afectado,viv_mam_hidrosanitarias_afectado_num,viv_mam_hidrosanitarias_afectado_etiqueta,viv_mam_hidrosanitarias_nivel,viv_mam_hidrosanitarias_nivel_num,viv_mam_hidrosanitarias_nivel_etiqueta,viv_mam_electricas_afectado,viv_mam_electricas_afectado_num,viv_mam_electricas_afectado_etiqueta,viv_mam_electricas_nivel,viv_mam_electricas_nivel_num,viv_mam_electricas_nivel_etiqueta,viv_mad_vigas_columnas_afectado,viv_mad_vigas_columnas_afectado_num,viv_mad_vigas_columnas_afectado_etiqueta,viv_mad_vigas_columnas_nivel,viv_mad_vigas_columnas_nivel_num,viv_mad_vigas_columnas_nivel_etiqueta,viv_mad_entrepisos_afectado,viv_mad_entrepisos_afectado_num,viv_mad_entrepisos_afectado_etiqueta,viv_mad_entrepisos_nivel,viv_mad_entrepisos_nivel_num,viv_mad_entrepisos_nivel_etiqueta,viv_mad_muros_madera_afectado,viv_mad_muros_madera_afectado_num,viv_mad_muros_madera_afectado_etiqueta,viv_mad_muros_madera_nivel,viv_mad_muros_madera_nivel_num,viv_mad_muros_madera_nivel_etiqueta,viv_mad_cubierta_afectado,viv_mad_cubierta_afectado_num,viv_mad_cubierta_afectado_etiqueta,viv_mad_cubierta_nivel,viv_mad_cubierta_nivel_num,viv_mad_cubierta_nivel_etiqueta,viv_mad_hidrosanitarias_afectado,viv_mad_hidrosanitarias_afectado_num,viv_mad_hidrosanitarias_afectado_etiqueta,viv_mad_hidrosanitarias_nivel,viv_mad_hidrosanitarias_nivel_num,viv_mad_hidrosanitarias_nivel_etiqueta,viv_mad_electricas_afectado,viv_mad_electricas_afectado_num,viv_mad_electricas_afectado_etiqueta,viv_mad_electricas_nivel,viv_mad_electricas_nivel_num,viv_mad_electricas_nivel_etiqueta,viv_requiere_evacuacion,viv_requiere_evacuacion_num,viv_requiere_evacuacion_etiqueta,viv_combo_mamposteria,viv_combo_mamposteria_num,viv_combo_mamposteria_etiqueta,viv_combo_madera,viv_combo_madera_num,viv_combo_madera_etiqueta,viv_kit_cubierta_mamposteria,viv_kit_cubierta_mamposteria_num,viv_kit_cubierta_mamposteria_etiqueta,viv_kit_cubierta_madera,viv_kit_cubierta_madera_num,viv_kit_cubierta_madera_etiqueta,viv_combo_colapso_total,viv_combo_colapso_total_num,viv_combo_colapso_total_etiqueta,viv_inf_nombre,viv_inf_cc,viv_inf_parentesco,viv_inf_telefono,viv_inf_firma,viv_declaracion_tipo,viv_declaracion_tipo_num,viv_declaracion_tipo_etiqueta,viv_nc_nombre,viv_nc_cc,viv_nc_telefono,viv_nc_firma,viv_firma_profesional_nombre,viv_firma_profesional_ok,viv_aprobo_coordinador_nombre,viv_aprobo_coordinador_ok
VIV-20260814-WX2KRU,vivienda,HOG-20260814-2QND5,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-17,Camilo Duran,1100000119,,3001000019,,Valle del Cauca,Santiago de Cali,Cra,91,Ninguno,,61,34,Casa,,,,,"Cra 111 # 76-23, Casa",3.371564588997061,-76.54707969547806,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,moderado,2,Moderado,si,1,Sí,moderado,2,Moderado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Camilo Duran,1100000119,,,0,,,,,,,0,,0,,0
VIV-20260814-P8NM9J,vivienda,HOG-20260814-JYDYX,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Gestión del Riesgo,,,,,2026-08-16,Rosalba Pena,1100000118,,3001000018,,Valle del Cauca,Santiago de Cali,Av,92,Ninguno,,37,70,Casa,,,,,"Av 30 # 93-29, Casa",3.4400260063836288,-76.53396275614742,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,no,2,No,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,leve,1,Leve,si,1,Sí,leve,1,Leve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Rosalba Pena,1100000118,,,0,,,,,,,0,,0,,0
VIV-20260814-4DRCXE,vivienda,HOG-20260814-X43EV,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-18,Alberto Quintero,1100000117,,3001000017,,Valle del Cauca,Santiago de Cali,Carrera,18,Ninguno,,94,20,Casa,,,,,"Carrera 107 # 39-65, Casa",3.4403786179080327,-76.53447659707672,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,no,2,No,sismo,3,Sismo,,madera,2,Madera,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,si,1,Sí,moderado,2,Moderado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Alberto Quintero,1100000117,,,0,,,,,,,0,,0,,0
VIV-20260814-LUTFWH,vivienda,HOG-20260814-84XH8,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Gestión del Riesgo,,,,,2026-08-17,Patricia Valencia,1100000116,,3001000016,,Valle del Cauca,Santiago de Cali,Calle,34,Ninguno,,23,27,Casa,,,,,"Calle 51 # 95-41, Casa",3.3830278752896024,-76.54831824321069,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,moderado,2,Moderado,no,2,No,moderado,2,Moderado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Patricia Valencia,1100000116,,,0,,,,,,,0,,0,,0
VIV-20260814-UH2FPD,vivienda,HOG-20260814-6NPFL,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-16,Fernando Giraldo,1100000115,,3001000015,,Valle del Cauca,Santiago de Cali,Cl,25,Ninguno,,32,86,Casa,,,,,"Cl 105 # 4-73, Casa",3.3482191143131206,-76.53914308620206,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,leve,1,Leve,si,1,Sí,leve,1,Leve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Fernando Giraldo,1100000115,,,0,,,,,,,0,,0,,0
VIV-20260814-T2RSGP,vivienda,HOG-20260814-F9CTV,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Gestión del Riesgo,,,,,2026-08-18,Consuelo Ramirez,1100000114,,3001000014,,Valle del Cauca,Santiago de Cali,Tv,118,Ninguno,,29,19,Casa,,,,,"Tv 58 # 23-76, Casa",3.375134978500039,-76.53439799897733,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,no,2,No,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,colapso_total,4,Colapso total,si,1,Sí,colapso_total,4,Colapso total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Consuelo Ramirez,1100000114,,,0,,,,,,,0,,0,,0
VIV-20260814-JPDXPW,vivienda,HOG-20260814-J9LC7,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-17,Ivan Escobar,1100000113,,3001000013,,Valle del Cauca,Santiago de Cali,Calle,33,Ninguno,,82,31,Casa,,,,,"Calle 16 # 55-70, Casa",3.401932392217011,-76.52244472538952,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,severo,3,Severo,si,1,Sí,severo,3,Severo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Ivan Escobar,1100000113,,,0,,,,,,,0,,0,,0
VIV-20260814-PNL2V5,vivienda,HOG-20260814-6DWXH,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Gestión del Riesgo,,,,,2026-08-16,Nancy Arboleda,1100000112,,3001000012,,Valle del Cauca,Santiago de Cali,Carrera,13,Ninguno,,13,64,Casa,,,,,"Carrera 64 # 68-26, Casa",3.41123093840788,-76.5160874678372,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,madera,2,Madera,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,si,1,Sí,colapso_total,4,Colapso total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Nancy Arboleda,1100000112,,,0,,,,,,,0,,0,,0
VIV-20260814-SCTJ28,vivienda,HOG-20260814-9SLN5,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-18,Gustavo Trujillo,1100000111,,3001000011,,Valle del Cauca,Santiago de Cali,Calle,102,Ninguno,,3,24,Casa,,,,,"Calle 60 # 45-29, Casa",3.4203675332945536,-76.52142454100617,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,no,2,No,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,severo,3,Severo,no,2,No,severo,3,Severo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Gustavo Trujillo,1100000111,,,0,,,,,,,0,,0,,0
VIV-20260814-GH8HU3,vivienda,HOG-20260814-VK8V7,gabriela,Gabriela,diligenciador,finalizada,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2026-08-14,20:32:38,2,0,,1.7.1,,Alcaldía de Santiago de Cali,Gabriela Guerrero,,Ingeniera Civil,Secretaría de Vivienda,,,,,2026-08-16,Wilson Cardenas,1100000109,,3001000009,,Valle del Cauca,Santiago de Cali,Cra,66,Ninguno,,71,42,Casa,,,,,"Cra 74 # 61-94, Casa",3.398837618073293,-76.54031653872761,EPSG:4326,GPS,,,,Sí,,,,,,,,,,,,,si,1,Sí,sismo,3,Sismo,,mamposteria,1,Mampostería,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,si,1,Sí,colapso_total,4,Colapso total,si,1,Sí,colapso_total,4,Colapso total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,No,,,,,,,,,,,,,,,,Wilson Cardenas,1100000109,,,0,,,,,,,0,,0,,0
